registry_id,primary_law,enf_outcome_code,self_disclosure_frequency,penalty_frequency,fed_penalty_assessed_amt,state_local_penalty_amt,sep_amt,compliance_action_cost,cost_recovery_awarded_amt,state,county,epa_region,lat,long,low_income_ratio,white_population_ratio,black_population_ratio,hispanic_population_ratio,asian_population_ratio,american_indian_population_ratio,air_pollutant_class_code,caasip,caamact,caansps,caatvp,caagactm,other,rad_wbd_huc12s,democrat,independent,libertarian,republican
110000498701.0,CAA,ECP,0.0,1,17274.0,0.0,64776.0,4500.0,0.0,KY,CALLOWAY,4.0,36.647333,-88.300444,0.44,0.91,0.08,0.04,0.04,0.0,MAJ,1.0,1.0,1.0,1.0,0.0,0.0,,9.0,0.0,0.0,69.0
110000498710.0,CAA,ECP,0.0,2,97865.0,0.0,58000.0,25000.0,0.0,OH,LICKING,5.0,40.0697,-82.40188,0.39,0.94,0.03,0.01,0.01,0.0,MAJ,1.0,1.0,1.0,1.0,0.0,0.0,,59.0,0.0,0.0,123.0
110000499023.0,FIFRA,ECN,0.0,1,0.0,0.0,0.0,1500.0,0.0,OK,TULSA,6.0,36.086925,-95.834624,0.39,0.56,0.1,0.19,0.05,0.04,MIN,1.0,1.0,0.0,1.0,0.0,0.0,,1.0,0.0,0.0,60.0
110000499069.0,CAA,ECP,0.0,1,93452.0,0.0,0.0,0.0,0.0,UT,DAVIS,8.0,40.866389,-111.911389,0.19,0.84,0.01,0.07,0.03,0.0,SMI,1.0,1.0,1.0,0.0,0.0,1.0,,8.0,0.0,0.0,41.0
110000499531.0,CWA,ECP,0.0,1,1600000.0,1605428.6,0.0,2554434.0,0.0,DC,DISTRICT OF COLUMBIA,3.0,38.89637,-76.9561,0.32,0.15,0.64,0.04,0.01,0.0,MAJ,1.0,0.0,1.0,1.0,0.0,1.0,02,17.0,0.0,0.0,0.0
110000499700.0,CWA,ECP,0.0,1,85000.0,0.0,0.0,455873.0,0.0,WV,WAYNE,3.0,38.41484,-82.47932,0.45,0.93,0.08,0.01,0.01,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,22.0,0.0,0.0,25.0
110000499791.0,EPCRA,ECP,0.0,1,1446.0,0.0,5423.0,100.0,0.0,GA,FORSYTH,4.0,34.11374,-84.23128,0.13,0.51,0.08,0.08,0.12,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,68.0,0.0,0.0,94.0
110000500912.0,RCRA,ECP,0.0,2,140000.0,0.0,0.0,989000.0,0.0,CA,KERN,9.0,35.401811,-119.612789,0.49,0.0,0.0,0.0,0.0,0.0,SMI,0.0,0.0,0.0,0.0,0.0,1.0,,455.0,0.0,0.0,147.0
110000501083.0,CAA,ECP,0.0,1,2000.0,0.0,0.0,250.0,0.0,TX,DALLAS,6.0,32.955556,-96.719167,0.32,0.53,0.12,0.23,0.11,0.01,,0.0,0.0,0.0,0.0,0.0,0.0,,138.0,0.0,0.0,282.0
110000501252.0,CAA,ECP,0.0,1,1200.0,0.0,0.0,0.0,0.0,TX,HENDERSON,6.0,32.208078,-95.773856,0.27,0.93,0.04,0.14,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,138.0,0.0,0.0,282.0
110000501323.0,CWA,EUO,0.0,2,0.0,0.0,0.0,11000.0,0.0,TX,HARRIS,6.0,29.72158,-94.986768,0.44,0.61,0.16,0.57,0.01,0.01,,0.0,0.0,0.0,0.0,0.0,0.0,12,138.0,0.0,0.0,282.0
110000501840.0,CAA,ECP,0.0,1,2520.0,0.0,0.0,0.0,0.0,TX,BEXAR,6.0,29.235588,-98.418434,0.48,0.55,0.01,0.51,0.0,0.01,,0.0,0.0,0.0,0.0,0.0,0.0,12,138.0,0.0,0.0,282.0
110000501993.0,CWA,,0.0,1,0.0,0.0,0.0,10000.0,0.0,TX,NUECES,6.0,27.810775,-97.436658,0.62,0.85,0.08,0.91,0.0,0.01,MAJ,2.0,1.0,1.0,2.0,0.0,2.0,12,138.0,0.0,0.0,282.0
110000502019.0,RCRA,,0.0,1,0.0,0.0,0.0,5000.0,0.0,TX,DALLAS,6.0,32.7044,-96.9192,0.48,0.43,0.2,0.59,0.02,0.01,,0.0,0.0,0.0,0.0,0.0,0.0,,138.0,0.0,0.0,282.0
110000502242.0,CAA,ECP,0.0,1,900.0,0.0,0.0,0.0,0.0,TX,DALLAS,6.0,32.811111,-96.877778,0.5,0.43,0.19,0.58,0.03,0.01,,0.0,0.0,0.0,0.0,0.0,0.0,,138.0,0.0,0.0,282.0
110000502260.0,CAA,ECP,0.0,2,30000.0,0.0,0.0,2500.0,0.0,TX,TARRANT,6.0,32.818889,-97.32,0.44,0.58,0.05,0.54,0.04,0.01,,0.0,0.0,0.0,0.0,0.0,1.0,,138.0,0.0,0.0,282.0
110000502411.0,FIFRA,ECN,0.0,1,0.0,0.0,0.0,1500.0,0.0,TX,FLOYD,6.0,34.12449,-101.451814,0.37,0.82,0.03,0.63,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,138.0,0.0,0.0,282.0
